"","college_name","act_lower_quartile","act_upper_quartile","sat_lower_quartile","sat_upper_quartile"
"951","University of Arkansas at Pine Bluff","16","21","920","1140"
"952","University of Arkansas Community College Morrilton","18","22","850","1050"
"953","University of Baltimore","20","21","890","1110"
"954","University of Bridgeport","18","23","920","1090"
"955","University of California Berkeley","31","34","1330","1560"
"956","University of California Davis","25","31","1130","1390"
"957","University of California Irvine","24","30","1130","1390"
"958","University of California Los Angeles","28","33","1230","1510"
"959","University of California Merced","19","24","950","1140"
"960","University of California Riverside","21","27","1020","1260"
"961","University of California San Diego","27","33","1240","1490"
"962","University of California Santa Barbara","27","32","1190","1440"
"963","University of California Santa Cruz","25","30","1130","1350"
"964","University of Central Arkansas","20","27","950","1130"
"965","University of Central Florida","24","28","1150","1330"
"966","University of Charleston","18","24","920","1100"
"967","University of Chicago","32","35","1490","1600"
"968","University of Cincinnati Main Campus","23","28","1110","1350"
"969","University of Colorado Boulder","25","30","1140","1370"
"970","University of Colorado Colorado Springs","20","26","1020","1260"
"971","University of Colorado Denver","21","26","1040","1260"
"972","University of Connecticut","26","31","1190","1400"
"973","University of Connecticut Avery Point","19","24","970","1210"
"974","University of Connecticut Stamford","22","29","950","1170"
"975","University of Connecticut Tri Campus","21","25","950","1170"
"976","University of Dallas","23","30","1120","1350"
"977","University of Dayton","24","29","1100","1310"
"978","University of Delaware","22","29","1130","1340"
"979","University of Denver","26","31","1180","1370"
"980","University of Detroit Mercy","22","27","1040","1340"
"981","University of Dubuque","17","22","830","1080"
"982","University of Evansville","23","29","1070","1290"
"983","University of Florida","27","31","1250","1420"
"984","University of Georgia","26","31","1210","1400"
"985","University of Hartford","20","26","1000","1230"
"986","University of Hawaii at Hilo","18","24","940","1140"
"987","University of Hawaii at Manoa","20","26","1050","1260"
"988","University of Houston","23","28","1120","1310"
"989","University of Houston Downtown","17","21","900","1070"
"990","University of Idaho","21","27","1010","1240"
